Close/Last,Volume,Open,High,Low,Day
184.06,5753385,185.20,186.22,180.82,661
185.88,7339023,176.28,185.92,172.68,662
179.95,5201583,176.49,180.10,174.27,663
174.87,7894710,177.07,179.45,170.30,664
178.36,5766847,179.55,180.67,175.10,665
179.60,7201897,189.20,192.20,179.37,666
189.14,8363879,191.77,191.78,182.39,667
190.85,12423970,183.50,191.19,181.84,668
181.71,9538226,180.50,182.76,175.87,669
178.89,12010620,170.75,182.82,170.20,670
170.91,12177590,177.60,178.62,169.80,671
175.51,12133370,173.63,179.65,173.34,672
173.35,8201306,174.00,176.27,171.56,673
180.11,12396040,169.26,183.85,168.53,674
167.54,11555320,169.75,172.06,164.28,675
169.69,10222410,177.07,179.09,168.96,676
182.94,13074280,182.64,185.86,180.85,677
192.77,6948967,200.65,201.69,192.54,678
202.83,7244121,197.95,207.38,197.64,679
198.61,4839491,194.87,199.60,193.00,680
197.14,5372043,202.09,203.87,195.38,681
198.98,7191775,200.14,202.95,198.05,682
205.09,9623121,192.02,205.47,191.72,683
192.91,8416151,198.70,202.74,191.66,684
197.44,11398460,196.18,199.95,190.80,685
195.19,8585987,193.19,195.25,190.37,686
191.40,8049933,186.49,192.34,183.09,687
187.83,8522092,180.28,188.87,180.17,688
180.34,7706372,182.00,184.00,177.17,689
187.44,9602027,186.15,187.66,177.89,690
186.35,10429400,185.87,190.19,179.77,691
183.48,10448510,178.05,186.30,175.71,692
177.19,9665632,186.72,187.70,176.27,693
190.56,9876685,189.17,191.40,185.17,694
186.51,16145010,193.30,195.89,185.70,695
187.64,13136330,177.16,187.77,176.01,696
174.31,17662120,163.96,177.58,162.71,697
166.37,12665520,176.09,180.92,165.55,698
177.66,13883910,176.01,181.87,170.57,699
173.10,14031330,177.66,183.20,172.30,700
180.97,17185480,186.75,187.21,175.81,701
188.32,13971330,200.45,200.71,186.00,702
204.01,12218780,197.65,204.38,191.01,703
199.87,11839430,198.29,203.20,194.77,704
199.46,14591600,191.71,200.21,190.01,705
190.36,16391890,198.68,204.71,190.00,706
199.52,21363160,191.56,201.48,185.60,707
188.54,22298390,194.01,200.19,187.77,708
198.40,20318090,208.80,209.15,198.28,709
209.91,28152050,213.81,216.66,204.51,710
215.52,37515130,220.18,226.27,210.05,711
218.22,53501600,220.00,227.68,211.52,712
226.19,133387500,245.20,248.70,212.51,713
348.61,20906890,333.22,351.68,333.22,714
337.86,5105041,340.00,342.36,331.62,715
341.13,4343837,350.95,352.00,339.86,716
350.43,3230950,343.92,352.00,341.16,717
344.10,3824261,355.91,359.41,342.25,718
348.00,3777096,350.00,354.78,345.20,719
355.88,4025183,361.96,362.50,354.87,720
362.15,4948909,365.00,368.54,353.69,721
368.35,4354885,374.15,376.47,362.73,722
380.15,4234508,389.30,390.00,377.31,723
391.50,7009235,373.55,396.02,373.13,724
373.47,4644237,376.80,380.87,368.50,725
374.59,4134720,383.59,384.00,373.61,726
381.47,4023301,389.55,392.70,378.63,727
391.82,5880723,384.39,396.50,380.33,728
378.51,4323435,375.23,380.28,366.73,729
373.85,3575953,377.07,377.64,366.43,730
375.71,3888461,379.76,379.76,368.90,731
374.49,3728954,379.77,382.46,374.49,732
382.92,4242762,371.14,386.66,366.76,733
374.59,4866463,378.02,381.82,368.94,734
380.60,8324825,372.00,381.80,368.47,735
